"id","property_type","city","price","sq_m_built","n_bedrooms","bathrooms","floor","year_built","exterior","parking","log_price","city-neighborhood"
100620239,Duplex,Barcelona,185000,104,3,1,0,2009,True,False,12,Barcelona - La Sagrera
104334700,Flat / apartment,Barcelona,300000,72,2,2,0,2008,False,False,12,Barcelona - El Clot
102845575,Terraced house,Barcelona,633000,128,3,2,3,2004,False,True,13,Barcelona - El Clot
104373754,Flat / apartment,Barcelona,330000,72,3,1,0,2008,False,False,12,Barcelona - Sant Martí
103201621,Flat / apartment,Barcelona,399000,76,4,2,3,1970,True,False,12,Barcelona - El Clot
104376714,Flat / apartment,Barcelona,1079000,128,3,3,3,1920,True,False,13,Barcelona - L'Antiga Esquerra de l'Eixample
102406511,Flat / apartment,Barcelona,880000,119,3,2,0,1901,False,False,13,Barcelona - L'Antiga Esquerra de l'Eixample
102544696,Flat / apartment,Barcelona,570000,111,4,2,6,1958,True,False,13,Barcelona - L'Antiga Esquerra de l'Eixample
102587704,Flat / apartment,Barcelona,390000,90,4,1,2,1910,True,False,12,Barcelona - L'Antiga Esquerra de l'Eixample
102072921,Flat / apartment,Barcelona,700000,91,2,2,5,1940,True,False,13,Barcelona - L'Antiga Esquerra de l'Eixample
102413982,Flat / apartment,Barcelona,470000,86,3,2,2,1940,True,False,13,Barcelona - L'Antiga Esquerra de l'Eixample
104347927,Flat / apartment,Barcelona,530000,130,4,2,1,1968,True,False,13,Barcelona - L'Antiga Esquerra de l'Eixample
103746987,Flat / apartment,Barcelona,1295000,168,4,2,1,1930,False,False,14,Barcelona - Eixample
104074342,Flat / apartment,Barcelona,725000,110,2,2,0,1962,False,False,13,Barcelona - Eixample
104367938,Flat / apartment,Barcelona,219000,91,3,1,1,1968,True,False,12,Barcelona - La Guineueta
103728743,Flat / apartment,Barcelona,156000,59,2,1,0,1966,True,False,11,Barcelona - Nou Barris
104172605,Flat / apartment,Barcelona,112854,78,2,1,0,1959,True,False,11,Barcelona - La Trinitat Nova
102369936,Flat / apartment,Barcelona,525000,116,4,2,2,1969,True,False,13,Barcelona - Sant Andreu
101169412,Semi-detached house,Barcelona,595000,236,8,2,0,1900,False,False,13,Barcelona - Sant Andreu
100986163,Flat / apartment,Barcelona,325000,75,3,1,1,1971,True,False,12,Barcelona - Sant Andreu
104393598,Flat / apartment,Barcelona,550000,110,3,2,1,1920,True,False,13,Barcelona - Sant Antoni
103914525,Flat / apartment,Barcelona,380000,95,5,2,5,1971,True,False,12,Barcelona - Eixample
100785120,Flat / apartment,Barcelona,675000,188,4,2,2,1977,True,False,13,Barcelona - Sant Antoni
104090756,Flat / apartment,Barcelona,598000,134,4,2,6,1980,True,False,13,Barcelona - Sant Antoni
102080143,Flat / apartment,Barcelona,598000,136,2,2,0,1933,True,False,13,Barcelona - Sant Antoni
102372332,Flat / apartment,Barcelona,535000,82,2,2,0,1940,True,False,13,Barcelona - Eixample
104283239,Flat / apartment,Barcelona,230000,56,2,1,0,1895,False,False,12,Barcelona - Sant Antoni
104210131,Duplex,Barcelona,490000,89,2,2,0,2008,True,False,13,Barcelona - El Putxet i el Farró
103209709,Flat / apartment,Barcelona,400000,70,2,1,3,1964,True,False,12,Barcelona - Sarrià-Sant Gervasi
104375636,Flat / apartment,Barcelona,588000,110,2,2,4,1964,True,False,13,Barcelona - El Putxet i el Farró
97587269,Penthouse,Barcelona,1350000,180,2,3,10,1967,True,False,14,Barcelona - El Putxet i el Farró
104322328,Flat / apartment,Barcelona,220000,74,3,1,1,1957,False,False,12,Barcelona - Porta
103808645,Flat / apartment,Barcelona,89000,80,2,1,0,1960,True,False,11,Barcelona - Porta
103301210,Flat / apartment,Barcelona,655000,101,3,2,6,2005,True,False,13,Barcelona - Diagonal Mar i el Front Marítim del Poblenou
103846793,Penthouse,Barcelona,2500000,153,3,3,21,2005,True,True,14,Barcelona - Diagonal Mar i el Front Marítim del Poblenou
94889862,Flat / apartment,Barcelona,560000,80,2,2,3,2016,True,True,13,Barcelona - Sant Martí
104034584,Semi-detached house,Barcelona,975000,250,4,3,4,2000,False,True,13,Barcelona - Diagonal Mar i el Front Marítim del Poblenou
96728540,Flat / apartment,Barcelona,1300000,140,3,2,8,2005,True,False,14,Barcelona - Diagonal Mar i el Front Marítim del Poblenou
101845167,Penthouse,Barcelona,346000,60,1,1,5,1954,True,False,12,Barcelona - Sants-Montjuïc
103809721,Flat / apartment,Barcelona,172000,46,3,1,2,1932,False,False,12,Barcelona - El Poble Sec - Parc de Montjuïc
101127264,Flat / apartment,Barcelona,239000,80,3,1,0,1969,False,False,12,Barcelona - Sants-Montjuïc
103735749,Flat / apartment,Barcelona,390000,98,4,2,5,1972,True,False,12,Barcelona - El Poble Sec - Parc de Montjuïc
99560817,Flat / apartment,Barcelona,259000,57,2,1,1,1934,True,False,12,Barcelona - El Poble Sec - Parc de Montjuïc
103000148,Flat / apartment,Barcelona,325000,76,3,1,1,1936,False,False,12,Barcelona - El Poble Sec - Parc de Montjuïc
103027787,Flat / apartment,Barcelona,175000,60,3,1,3,1969,True,False,12,Barcelona - Sants-Montjuïc
102773631,Studio flat,Barcelona,173000,68,0,1,0,1969,False,False,12,Barcelona - Sants-Montjuïc
102046833,Flat / apartment,Barcelona,650000,130,3,2,0,1950,False,False,13,Barcelona - Vila de Gràcia
101403621,Duplex,Barcelona,1075000,261,4,3,3,1906,False,False,13,Barcelona - Vila de Gràcia
104000779,Duplex,Barcelona,770000,130,2,3,0,1890,True,False,13,Barcelona - Vila de Gràcia
104181056,Flat / apartment,Barcelona,998000,117,3,1,2,1930,True,False,13,Barcelona - Vila de Gràcia
104378520,Flat / apartment,Barcelona,420000,73,3,2,3,1930,True,False,12,Barcelona - Vila de Gràcia
103665143,Flat / apartment,Barcelona,410000,82,3,1,0,2020,True,False,12,Barcelona - Vila de Gràcia
102947240,Flat / apartment,Barcelona,630000,167,5,3,3,1959,True,False,13,Barcelona - Vila de Gràcia
99973727,Flat / apartment,Barcelona,376000,94,3,2,2,2010,False,True,12,Barcelona - La Marina del Prat Vermell
104383928,Studio flat,Barcelona,199000,52,0,1,0,1856,True,False,12,Barcelona - Sarrià
100566169,Flat / apartment,Barcelona,1290000,250,4,4,4,1973,True,True,14,Barcelona - Sarrià-Sant Gervasi
103412286,Flat / apartment,Barcelona,549000,105,4,2,1,1970,True,False,13,Barcelona - Sarrià
101541027,Detached house,Barcelona,2900000,455,6,4,0,2003,False,True,14,Barcelona - Sarrià-Sant Gervasi
99257066,Penthouse,Barcelona,1750000,299,5,4,5,1980,True,True,14,Barcelona - Sarrià
103756899,Duplex,Barcelona,800000,178,4,3,0,2005,True,False,13,Barcelona - El Guinardó
104146703,Flat / apartment,Barcelona,258000,76,3,1,1,1969,True,False,12,Barcelona - El Guinardó
104378503,Flat / apartment,Barcelona,349000,80,2,1,0,1971,True,False,12,Barcelona - El Guinardó
104205602,Flat / apartment,Barcelona,170000,64,2,1,0,1971,True,False,12,Barcelona - El Guinardó
104017451,Flat / apartment,Barcelona,390000,128,4,2,0,1971,True,False,12,Barcelona - El Guinardó
93664382,Flat / apartment,Barcelona,330000,141,2,1,0,1973,True,False,12,Barcelona - El Guinardó
102692479,Flat / apartment,Barcelona,265000,65,3,1,3,1967,True,False,12,Barcelona - El Guinardó
103408433,Flat / apartment,Barcelona,235000,93,3,1,10,1974,True,False,12,Barcelona - Canyelles
104095483,Flat / apartment,Barcelona,339000,77,3,2,6,1980,True,False,12,Barcelona - Sant Martí de Provençals
104258616,Flat / apartment,Barcelona,595000,174,5,2,7,1960,True,False,13,Barcelona - Sant Martí
104229186,Flat / apartment,Barcelona,258000,90,3,1,0,1960,True,False,12,Barcelona - Sant Martí de Provençals
103286056,Flat / apartment,Barcelona,424000,62,2,2,0,1965,False,False,12,Barcelona - Sant Martí de Provençals
102983216,Flat / apartment,Barcelona,335000,106,4,2,4,1965,True,False,12,Barcelona - Sant Martí de Provençals
103427885,Flat / apartment,Barcelona,330000,92,4,2,1,1965,True,False,12,Barcelona - Sant Martí
102950827,Flat / apartment,Barcelona,335000,106,4,1,4,1965,False,False,12,Barcelona - Sant Martí de Provençals
99253084,Penthouse,Barcelona,380000,106,4,2,8,1986,True,True,12,Barcelona - La Marina del Port
104335729,Flat / apartment,Barcelona,329000,88,4,2,2,1977,True,False,12,Barcelona - La Marina del Port
104048841,Flat / apartment,Barcelona,229000,90,3,1,3,1974,True,False,12,Barcelona - La Marina del Port
103112135,Flat / apartment,Barcelona,410000,107,4,2,8,1977,True,False,12,Barcelona - La Marina del Port
98969077,Flat / apartment,Barcelona,380000,91,4,2,8,1977,True,True,12,Barcelona - La Marina del Port
