"PropertyTitle","Price","Rooms","Floors","Bedrooms","Living","Type","Condition","Standing","ConstructionYear","Total","Bathrooms","Land","ParkingLots(Outside)","ParkingLots(Inside)","Internal","Terraces","Garages(Outside)","Cellar","Beds"
"Condo/Apartment for sale in Paris, France","$429,189",2,,1,"48 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$470,554",3,,2,"44 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$54,716",1,,,"5 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"House for sale in Paris, France","$1,043,973",4,,3,"102 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$2,845,209",6,,4,"200 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$436,630",3,,2,"43 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$284,521",1,,,"26 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$2,845,209",5,,3,"160 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$919,221",4,,3,"80 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$103,960",1,,,"8 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$485,874",2,,1,"49 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$585,456",2,,1,"31 m²",Condo/Apartment,New,"",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$317,350",1,,,"25 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$284,959",2,,1,"26 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$397,235",1,,,"27 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$437,724",3,,2,"69 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"House for sale in Paris, France","$874,354",4,,3,"100 m²",House,"","",,"",1,"",,2,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,365,700",3,,1,"70 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,165,441",5,,3,"118 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$235,277",1,,,"17 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$492,440",1,,,"28 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$804,319",3,,2,"78 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$476,025",2,,1,"49 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$476,025",2,,1,"49 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$2,275,073",6,,4,"307 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$334,804",2,,1,"29 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$175,090",1,,1,"15 m²",Condo/Apartment,"","",,"",3,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$941,107",4,,3,"87 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$355,651",2,,1,"33 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$172,901",1,,,"13 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$2,954,640",6,,4,"180 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$755,075",2,,1,"51 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$229,805",2,,1,"23 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$744,131",3,,2,"62 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$2,133,906",8,,,"181 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$240,748",1,,,"25 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$311,879",1,,,"32 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$875,449",2,,,"102 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$477,120",3,,2,"48 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$982,691",4,,3,"98 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$711,302",4,,2,"75 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$425,687",2,,1,"40 m²","","","",,"",,"",,,"","","","",""
Apartment,"$1,630,523",5,,4,"126 m²",Condo/Apartment,"","",2024,"126 m²",,"",,,"","","","",""
Apartment,"$619,380",2,,1,"49 m²",Condo/Apartment,"","",2025,"49 m²",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$443,196",2,,1,"33 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$601,871",2,,1,"36 m²",Condo/Apartment,New,"",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, FR","$711,302",3,,2,"79 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$728,811",4,,3,"81 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, FR","$899,524",5,,4,"101 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$335,735",1,,,"33 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$899,524",4,,3,"101 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$629,229",2,,1,"43 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$421,091",3,,2,"43 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$217,768",1,,,"20 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Apartment,"$436,630",2,,1,"47 m²",Condo/Apartment,"","",2022,"47 m²",1,"",,,"","","","",""
Apartment,"$344,708",1,,1,"24 m²",Condo/Apartment,"","",1750,"24 m²",1,"",,,"16 m²","","","",""
Apartment,"$588,739",2,,1,"56 m²",Condo/Apartment,"","",1997,"56 m²",1,"",,,"","","","",""
Apartment,"$640,172",3,,2,"62 m²",Condo/Apartment,"","",1920,"62 m²",1,"",,1,"30 m²","","","",""
Apartment,"$328,293",1,,1,"28 m²",Condo/Apartment,"","",1960,"28 m²",,"",,,"","","","",""
Apartment,"$873,260",4,,2,"73 m²",Condo/Apartment,"","",1900,"73 m²",,"",,,"33 m²","","","",""
Apartment,"$121,469",1,,1,"10 m²",Condo/Apartment,"","",1800,"10 m²",,"",,,"9 m²","","","",""
Apartment,"$1,072,425",5,,3,"100 m²",Condo/Apartment,"","",1900,"100 m²",1,"",,,"31 m²","","","",""
Apartment,"$2,068,248",5,,3,"120 m²",Condo/Apartment,"","",1902,"120 m²",1,"",,,"37 m²","","","",""
Renovated apartment,"$744,131",4,,3,"90 m²",Condo/Apartment,"","",1980,"90 m²",2,"",,1,"42 m²","","","",""
Renovated apartment,"$744,131",5,,3,"90 m²",Condo/Apartment,"","",1980,"90 m²",2,"",,1,"42 m²","","","",""
Apartment,"$486,968",2,,1,"38 m²",Condo/Apartment,"","",1830,"38 m²",,"",,,"","","","",""
Apartment,"$645,643",1,,1,"29 m²",Condo/Apartment,"","",1960,"29 m²",,"",,,"","","","",""
Apartment,"$820,733",5,,2,"92 m²",Condo/Apartment,"","",1914,"92 m²",1,"",,,"","","","",""
Apartment,"$2,243,338",6,,4,"184 m²",Condo/Apartment,"","",1880,"184 m²",,"",,,"","","","",""
Apartment,"$273,578",1,,1,"34 m²",Condo/Apartment,"","",1975,"34 m²",,"",,,"24 m²","","","",""
Apartment,"$508,855",2,,1,"40 m²",Condo/Apartment,"","",,"40 m²",,"",,,"21 m²","","","",""
Apartment,"$601,871",2,,1,"41 m²",Condo/Apartment,"","",1939,"41 m²",,"",1,1,"18 m²","","","",""
Apartment,"$569,042",2,,1,"50 m²",Condo/Apartment,"","",1880,"50 m²",,"",,,"","","","",""
Old apartment,"$525,269",2,,1,"50 m²",Condo/Apartment,"","",,"50 m²",,"",,,"17 m²","","","",""
Apartment,"$180,561",1,,1,"15 m²",Condo/Apartment,"","",1930,"15 m²",,"",,,"12 m²","","","",""
Apartment,"$689,416",2,,1,"51 m²",Condo/Apartment,"","",1900,"51 m²",1,"",,,"16 m²","","","",""
Apartment,"$1,586,751",3,,2,"140 m²",Condo/Apartment,"","",1780,"140 m²",1,"",,,"30 m²","","","",""
Apartment,"$541,684",1,,,"39 m²",Condo/Apartment,"","",1933,"39 m²",1,"",,,"20 m²","","","",""
Apartment,"$629,229",2,,1,"64 m²",Condo/Apartment,"","",1950,"64 m²",,"",,,"38 m²","","","",""
Apartment,"$273,578",1,,,"17 m²",Condo/Apartment,"","",1900,"17 m²",,"",,,"9 m²","","","",""
Renovated apartment,"$689,416",3,,2,"70 m²",Condo/Apartment,"","",1980,"70 m²",1,"",,1,"26 m²","","","",""
Apartment,"$711,302",3,,2,"67 m²",Condo/Apartment,"","",,"67 m²",1,"",,,"30 m²","","","",""
Apartment,"$393,952",2,,1,"31 m²",Condo/Apartment,"","",,"31 m²",,"",,,"18 m²","","","",""
Renovated apartment,"$689,416",3,,2,"70 m²",Condo/Apartment,"","",1980,"70 m²",1,"",,1,"26 m²","","","",""
Apartment,"$962,994",4,,3,"100 m²",Condo/Apartment,"","",1995,"100 m²",1,"",,1,"30 m²","","","",""
Apartment,"$651,115",4,,3,"70 m²",Condo/Apartment,"","",1890,"70 m²",2,"",,,"20 m²","","","",""
Apartment,"$618,286",3,,2,"57 m²",Condo/Apartment,"","",,"57 m²",,"",,,"","","","",""
Apartment,"$962,994",4,,2,"98 m²",Condo/Apartment,"","",1976,"98 m²",1,"",,1,"34 m²","","","",""
Apartment,"$634,700",2,,1,"57 m²",Condo/Apartment,"","",1968,"57 m²",,"",,1,"22 m²","","","",""
Apartment,"$875,449",4,,3,"63 m²",Condo/Apartment,"","",,"63 m²",,"",,,"","","","",""
Apartment,"$1,367,889",5,,4,"136 m²",Condo/Apartment,"","",1974,"136 m²",1,"",,1,"","","","",""
Apartment,"$361,123",4,,2,"35 m²",Condo/Apartment,"","",1890,"35 m²",,"",,,"9 m²","","","",""
Apartment,"$491,346",2,,1,"55 m²",Condo/Apartment,"","",1993,"55 m²",1,"",,,"","","","",""
Apartment,"$1,094,311",4,,3,"82 m²",Condo/Apartment,"","",1900,"82 m²",1,"",,1,"30 m²","","","",""
Apartment,"$1,417,133",4,,3,"111 m²",Condo/Apartment,"","",1930,"111 m²",1,"",,,"","","","",""
Apartment,"$764,923",3,,2,"70 m²",Condo/Apartment,"","",1830,"70 m²",,"",,,"35 m²","","","",""
Apartment,"$758,358",2,,1,"57 m²",Condo/Apartment,"","",,"57 m²",,"",,,"","","","",""
Apartment,"$71,130",1,,1,"7 m²",Condo/Apartment,"","",1900,"7 m²",,"",,,"","","","",""
Apartment,"$1,088,839",3,,2,"90 m²",Condo/Apartment,"","",1972,"90 m²",1,"",,1,"51 m²","","","",""
Apartment,"$393,952",2,,1,"35 m²",Condo/Apartment,"","",1880,"35 m²",,"",,,"","","","",""
Apartment,"$1,750,898",5,,3,"170 m²",Condo/Apartment,"","",1902,"170 m²",1,"",,,"60 m²","","","",""
Apartment,"$486,968",2,,1,"50 m²",Condo/Apartment,"","",1970,"50 m²",1,"",,1,"","","","",""
Apartment,"$1,006,766",4,,2,"95 m²",Condo/Apartment,"","",1975,"95 m²",2,"",,,"40 m²","","","",""
Apartment,"$716,774",2,,1,"66 m²",Condo/Apartment,"","",1959,"66 m²",1,"",,1,"33 m²","","","",""
Apartment,"$1,258,458",4,,3,"92 m²",Condo/Apartment,"","",1993,"92 m²",1,"",,1,"24 m²","","","",""
Apartment,"$349,085",1,,1,"35 m²",Condo/Apartment,"","",1880,"35 m²",,"",,,"25 m²","","","",""
Apartment,"$634,700",3,,2,"67 m²",Condo/Apartment,"","",1895,"67 m²",1,"",,,"25 m²","","","",""
Apartment,"$853,563",3,,2,"75 m²",Condo/Apartment,"","",1961,"75 m²",1,"",,,"25 m²","","","",""
Apartment,"$385,197",2,,1,"38 m²",Condo/Apartment,"","",1895,"38 m²",1,"",,,"","","","",""
Apartment,"$470,554",2,,1,"54 m²",Condo/Apartment,"","",,"54 m²",1,"",,,"23 m²","","","",""
Renovated apartment,"$984,880",4,,3,"90 m²",Condo/Apartment,"","",1965,"90 m²",1,"",,1,"33 m²","","","",""
Apartment - 2 rooms - 48 m² - Paris 75004,"$655,492",2,,1,"48 m²",Condo/Apartment,"","",,"48 m²",1,"",,,"","","","",""
Apartment - 3 rooms - 72 m² - Paris 75015,"$678,473",3,,2,"72 m²",Condo/Apartment,"","",,"72 m²",,"",,,"","","","",""
Apartment - 4 rooms - 53 m² - Paris 75012,"$552,627",4,,3,"53 m²",Condo/Apartment,"","",,"53 m²",1,"",,,"","","","",""
Apartment - 5 rooms - 113 m² - Paris 75020,"$930,164",5,,4,"113 m²",Condo/Apartment,"","",,"113 m²",1,"",1,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$279,049",2,,1,"31 m²",Condo/Apartment,"","",1893,"",1,"",,,"","","","",""
"Condo/Apartment for sale, 15th arrondissement of Paris, in Paris, France","$218,862",1,,1,"18 m²",Condo/Apartment,"","",1975,"",1,"",,,"","","","",""
"House for sale in Paris, France","$1,630,523",7,,4,"176 m²",House,"","",1996,"",,"112 m²",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$842,619",3,,3,"77 m²",Condo/Apartment,"","",1910,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$720,057",3,,2,"101 m²",Condo/Apartment,"","",1973,"",1,"",1,,"","","","",""
Large T5 apartment with beautiful panoramic view,"$645,643",5,,4,"98.32 m²",Condo/Apartment,"","",,"98 m²",1,"",1,,"","","","",""
Apartment for sale 3 rooms PARIS 15TH DISTRICT (75),"$521,439",3,,2,"70 m²",Condo/Apartment,"","",1961,"70 m²",1,"",,,"","","","",""
Paris 12th (75012) T3-66.43m² on the René Dumont green corridor and on the inner courtyard,"$640,172",3,,2,"66 m²",Condo/Apartment,"","",,"66 m²",1,"",,,"","","","",""
PARIS 18th arrondissement - Rue Doudeauville - 3-room apartment,"$574,513",3,,2,"61 m²",Condo/Apartment,"","",1880,"61 m²",1,"",,,"21 m²","","","",""
Golden triangle apartment Paris 8th arrondissement 5 rooms 118 m2 + 37m² terrace,"$1,849,386",5,,3,"128 m²",Condo/Apartment,"","",1880,"128 m²",,"",,,"","","","",""
Exlusif -Apartment Paris 3 room(s) 77 m2,"$612,814",3,,2,"77 m²",Condo/Apartment,"","",1992,"77 m²",2,"",,1,"23 m²","","","",""
Apartment Paris 3 room(s) 67 m2,"$749,603",3,,2,"67 m²",Condo/Apartment,"","",1954,"67 m²",1,"",,,"","","","",""
"Superb Apartment in the Prestigious Grand Pavois Complex, Paris 15th","$1,083,368",6,,4,"106 m²",Condo/Apartment,"","",1970,"",1,"",,,"","","","",""
STUDIO DUVERNET HALLE,"$207,919",1,,,"18.64 m²",Condo/Apartment,"","",1890,"",,"",,,"","","","",""
"3 Rooms in Duplex in the heart of Montparnasse","$695,982",3,1,2,"67 m²","","","",,"",,"",,,"","","","",""
Apartment with stunning views 65m2 - PELLEPORT,"$579,985",2,,1,"65 m²",Condo/Apartment,"","",1966,"",1,"",1,,"","","","",""
"Family apartment, 104m2, top floor, quiet and bright, rue Henri Barbusse","$1,451,056",5,2,3,"104 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"2 turnkey pieces - Voltaire","$311,879",2,1,1,"27.03 m²",Condo/Apartment,"","",1880,"",,"",,,"","","","",""
Two rooms in the heart of the 9th arrondissement!,"$437,724",2,1,1,"37.13 m²",Condo/Apartment,"","",1900,"",1,"",,,"","","","",""
Charming 2 pieces,"$383,009",2,,1,"46.5 m²",Condo/Apartment,"","",1958,"",,"",,,"","","","",""
Near Bastille - turnkey apartment,"$601,871",3,,2,"50.06 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Studio with exceptional view of the Eiffel Tower,"$217,768",1,,1,"16 m²",Condo/Apartment,"","",1910,"",,"",,,"","","","",""
"7 Rue 7tex","$760,546",3,,2,"68 m²",Condo/Apartment,"","",1991,"",1,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$163,052",1,,1,"16 m²",Condo/Apartment,"","",1930,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$186,033",1,,,"15 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$273,578",1,,1,"23 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$350,180",1,,1,"29 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$492,440",2,,1,"42 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$982,691",4,,2,"105 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,365,700",6,,3,"117 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$524,722",3,,1,"57 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,530,941",4,,2,"105 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,474,037",5,,3,"110 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$524,722",3,,1,"57 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$3,501,795",7,,3,"184 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$546,061",4,,,"68 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$546,061",4,,,"68 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$574,513",2,,1,"48 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$590,928",3,,2,"60 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$579,438",3,,2,"56 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$601,871",3,,1,"62 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,420,963",5,,3,"100 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$694,887",3,,2,"72 m²",Condo/Apartment,"","",1880,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$410,367",1,,,"38 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$711,302",4,,3,"69 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$491,893",3,,2,"47 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$732,094",3,,2,"63 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$414,744",2,,1,"38 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$755,075",5,,3,"100 m²",Condo/Apartment,"","",1976,"",1,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$491,346",2,,1,"43 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$763,829",3,,2,"78 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$491,893",3,,2,"47 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,532,035",3,,2,"87 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,641,467",4,,2,"90 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,860,329",3,,2,"90 m²",Condo/Apartment,"","",1901,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,860,329",3,,2,"92 m²",Condo/Apartment,"","",1901,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$585,456",2,,1,"46 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$202,448",2,,1,"24 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$346,897",2,,1,"30 m²",Condo/Apartment,"","",1927,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$136,789",1,,,"12 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$815,262",4,,2,"78 m²",Condo/Apartment,"","",1959,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,149,027",4,,3,"102 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,039,595",3,,2,"88 m²",Condo/Apartment,"","",1840,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$842,619",4,,2,"64 m²",Condo/Apartment,"","",1905,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$809,790",3,,1,"51 m²",Condo/Apartment,"","",1880,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$984,880",3,,2,"76 m²",Condo/Apartment,"","",1972,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$859,034",3,,2,"80 m²",Condo/Apartment,"","",,"",2,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$317,350",1,,,"30 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$804,319",3,,2,"81 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$842,619",3,,2,"60 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$804,319",3,,2,"65 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$848,091",3,,2,"62 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$279,618",1,,,"25 m²",Condo/Apartment,"","",1970,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$993,634",4,,3,"72 m²",Condo/Apartment,"","",1905,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,439,019",5,,2,"98 m²",Condo/Apartment,"","",1880,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$119,280",1,,,"10 m²",Condo/Apartment,"","",1911,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$489,157",3,,2,"47 m²",Condo/Apartment,"","",1910,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$539,495",2,,1,"46 m²",Condo/Apartment,"","",1985,"",,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,280,344",3,,,"91 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$760,546",4,,2,"80 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,625,052",3,,2,"86 m²",Condo/Apartment,"","",1900,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$492,440",2,,1,"39 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$645,643",3,,1,"67 m²",Condo/Apartment,"","",1955,"",1,"",,,"","","","",""
Charming Parisian apartment of 55m2. Paris 16th. Auteuil district.,"$625,344",3,,2,"55.14 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Character apartment of 2 rooms. St Ambroise district, near Marais.Paris.","$457,422",2,,1,"32 m²",Condo/Apartment,"","",1889,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$370,971",1,2,,"34.76 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$123,657",1,6,,"8 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$175,090",1,5,,"15 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$572,325",3,1,2,"58.5 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$689,416",2,9,1,"62.75 m²",Condo/Apartment,"","",1972,"",1,"44.8 m²",,,"","1","","",""
"Condo/Apartment for sale in Paris, France","$381,915",2,8,1,"40.18 m²",Condo/Apartment,"","",1965,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$594,211",1,6,,"32.7 m²",Condo/Apartment,"","",1850,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$601,871",1,5,,"32.5 m²",Condo/Apartment,"","",1850,"",,"",,,"","","","",""
"Apartment for sale in Rue du Château d'Eau, 75010 Paris","$251,144",1,,1,"22 m²","","","",,"",,"",,,"","","","",""
"Magnificent atypical apartment of 123 m² in Convention, Paris","$820,733",4,,2,"121 m²","","","",,"",,"",,,"","","","",""
"3-room apartment of 37 m2 for sale in Paris in the 17th arrondissement - Ideal for first-time buyers or investors.","$486,968",3,,2,"37 m²",Condo/Apartment,"","",,"48 m²",,"",,,"","","","",""
Functional studio to renovate in a quiet residence in the 20th,"$103,960",1,,1,"11 m²",Condo/Apartment,"","",1958,"11 m²",,"",,,"","","","",""
Renovated family house of 140m2 on a plot of 250m2 - Villejuif,"$711,302",7,,3,"140 m²","","","",,"140 m²",,"",,,"","","","",""
Charming 3-room apartment of 48 m² in Paris.,"$469,459",3,6,1,"48 m²",Condo/Apartment,"","",,"48 m²",,"",,,"","","","",""
"2-room apartment of 20m2 for sale in Paris 10th arrondissement - Ideal for first-time buyers or investors.","$268,106",2,,1,"20 m²",Condo/Apartment,"","",1881,"",,"",,,"","","","",""
Apartment for sale - Paris 4 - Rivoli - 3 bedrooms - Lift - Balcony,"$2,073,719",5,6,3,"125.01 m²",Condo/Apartment,Excellent condition,Regular,1881,"127.85 m²",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$436,630",2,5,1,"33.73 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$820,733",3,9,2,"68 m²",Condo/Apartment,"","",1975,"",,"",,,"","1","","",""
"Condo/Apartment for sale in Paris, France","$108,337",1,7,1,"9 m²",Condo/Apartment,"","",1930,"",,"",,,"","","","",""
"Condo/Apartment for sale, 15th arrondissement of Paris, in Paris, France","$710,208",3,11,2,"72 m²",Condo/Apartment,"","",1971,"",1,"",1,,"","","","",""
