"PropertyTitle","Price","Rooms","Floors","Bedrooms","Living","Type","Condition","Standing","ConstructionYear","Total","Bathrooms","Land","ParkingLots(Outside)","ParkingLots(Inside)","Internal","Terraces","Garages(Outside)","Cellar","Beds"
"95m2 2 bedroom balcony parking","$831,676",4,10,2,"95 m²",Condo/Apartment,"","",,"",1,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$317,350",2,,1,"28 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,422,604",4,,3,"115 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$344,708",1,,,"31 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$656,587",4,,3,"65 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$194,787",1,,,"20 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$432,253",3,,2,"46 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$869,977",2,,1,"52 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$479,308",2,,1,"46 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$2,096,481",6,,4,"121 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$402,159",2,,1,"39 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$804,319",2,,1,"33 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
PARIS 18 I AMIRAUX I 114m² I 6 ROOMS,"$976,125",6,5,4,"113.78 m²",Condo/Apartment,"","",2004,"113 m²",2,"",1,1,"","","","",""
TOWN HALL OF THE XV I RARE FOR SALE I CHARM OF THE OLD,"$1,271,152",5,6,3,"97 m²",Condo/Apartment,"","",,"97 m²",2,"",,,"","","","",""
PARIS 15 | LA MOTTE PICQUET | 54 m² | BRIGHT AND QUIET WITH BALCONY,"$653,304",2,6,1,"54 m²",Condo/Apartment,"","",,"54 m²",1,"",1,1,"","","","",""
PARIS 15 | CAMBRONNE | STUDIO | EXCEPTIONAL VIEW,"$359,372",1,13,,"24 m²","","","",,"24 m²",1,"",,,"","","","",""
"4 ROOMS | CHAMP DE MARS | EXCEPTIONAL VIEW","$913,750",4,32,3,"88 m²","","","",,"88 m²",2,"",1,1,"","","","",""
PARIS 18 I AMIRAUX I 114m² I 6 ROOMS,"$976,125",6,5,5,"113.78 m²",Condo/Apartment,"","",2004,"113 m²",2,"",1,1,"","","","",""
"4 ROOMS | CHAMP DE MARS | EXCEPTIONAL VIEW","$913,750",4,32,3,"88 m²","","","",,"88 m²",2,"",1,1,"","","","",""
PARIS 18 I LA CHAPELLE I 113m² I 5 ROOMS,"$809,790",5,1,4,"113 m²",Condo/Apartment,"","",,"113 m²",2,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$484,670",1,,,"32 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
